"Ad name",Country,"Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EGP)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EGP)","Link clicks",shop_clicks,"CPC (cost per link click) (EGP)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EGP)","Landing page views","Cost per landing page view (EGP)","Messaging conversations started","Ad ID","Ad set name","Campaign ID","Campaign name","Ad set ID","Reporting starts","Reporting ends",Bid,"Bid type",Objective,"Cost per messaging conversation started (EGP)"
"المنشور: ‏""‏ب 2000 جنية  بدلا 4400 جنية بس هتقدر تاخد دبلومة...‏""‏",EG,not_delivering,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,0,0,36.49333333,"Using campaign budget",0,218.96,2023-09-02,-,-,-,15359,14.256136,13,,16.843077,0.084641,528,3.437724,0.414697,,,6,23857963477720516,"المنشور: ‏""‏ب 2000 جنية  بدلا 4400 جنية بس هتقدر تاخد دبلومة...‏""‏",23857963477560516,"المنشور: ‏""‏ب 2000 جنية  بدلا 4400 جنية بس هتقدر تاخد دبلومة...‏""‏",23857963477660516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,36.493333
"Post: ‎""‎مهندس أو طالب في هندسة.. نفسك تحترف البرامج...‎""‎",EG,not_delivering,"7-day click or 1-day view",103,actions:onsite_conversion.messaging_conversation_started_7d,0,0,14.5631068,"Using campaign budget",0,1500,2024-02-16,-,-,-,120660,12.431626,253,,5.928854,0.20968,4078,3.379745,0.367827,,,103,120205154217580517,"Post: ‎""‎مهندس أو طالب في هندسة.. نفسك تحترف البرامج...‎""‎",120205154215610517,"Post: ‎""‎مهندس أو طالب في هندسة.. نفسك تحترف البرامج...‎""‎",120205154217350517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,14.563107
"Post: ‎""‎انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‎""‎",EG,not_delivering,"7-day click or 1-day view",14,actions:post_engagement,0,0,0.65428571,"Using campaign budget",0,9.16,2024-07-14,-,-,-,623,14.70305,10,,0.916,1.605136,15,2.407705,0.610667,,,,120210434210880517,"Post: ‎""‎انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‎""‎",120210434210680517,"Post: ‎""‎انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‎""‎",120210434210810517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",EG,not_delivering,"7-day click or 1-day view",13,actions:onsite_conversion.messaging_conversation_started_7d,0,0,18.48384615,"Using campaign budget",0,240.29,2024-11-08,-,-,-,5040,47.676587,22,,10.922273,0.436508,132,2.619048,1.820379,,,13,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,18.483846
"Midterm 2025",EG,not_delivering,"7-day click or 1-day view",125,actions:onsite_conversion.messaging_conversation_started_7d,0,0,20.02848,180,Daily,2503.56,Ongoing,-,-,-,33333,75.107551,183,,13.680656,0.549005,1096,3.288033,2.28427,,,125,120214691236080517,"New Midterm MTC 2025",120214691236070517,"Mtc midterm 2025",120214691236060517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,20.02848
"Post: ‎""‎خصم حقيقي لكل المهندسين والطلبه في مصر مركز...‎""‎",EG,not_delivering,"7-day click or 1-day view",456,actions:post_engagement,0,0,0.38815789,"Using campaign budget",0,177,2023-10-23,-,-,-,28308,6.252649,65,,2.723077,0.229617,787,2.780133,0.224905,,,3,120200131845680517,"Post: ‎""‎خصم حقيقي لكل المهندسين والطلبه في مصر مركز...‎""‎",120200131845500517,"Post: ‎""‎خصم حقيقي لكل المهندسين والطلبه في مصر مركز...‎""‎",120200131845610517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,59
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",EG,not_delivering,"7-day click or 1-day view",86,actions:onsite_conversion.messaging_conversation_started_7d,0,0,5.81395349,"Using campaign budget",0,500,2024-02-17,-,-,-,42874,11.66208,227,,2.202643,0.529458,990,2.309092,0.505051,,,86,120205236444550517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120205236442840517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120205236443940517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,5.813953
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",EG,not_delivering,"7-day click or 1-day view",127,actions:post_engagement,0,0,0.8923622,"Using campaign budget",0,113.33,2024-07-18,-,-,-,10626,10.665349,91,,1.245385,0.85639,270,2.540937,0.419741,,,1,120210506485030517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120210506484860517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120210506484980517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,113.33
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",EG,not_delivering,"7-day click or 1-day view",58,actions:onsite_conversion.messaging_conversation_started_7d,0,0,17.23258621,"Using campaign budget",0,999.49,2024-11-16,-,-,-,20396,49.004217,116,,8.616293,0.568739,576,2.824083,1.735226,,,58,120213158197770517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213158197760517,"‎Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎‎ - Copy",120213158197750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,17.232586
"منشور Instagram: ‏🚀 دبلومة ديكور احترافية مع خصم...",EG,not_delivering,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,0,0,30.07,"Using campaign budget",0,451.05,2025-01-12,-,-,-,6813,66.204315,20,,22.5525,0.293556,54,0.792602,8.352778,,,15,120214694473470517,"Instagram Post",120214694473350517,"منشور Instagram: ‏🚀 دبلومة ديكور احترافية مع خصم...",120214694473450517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,30.07
